,Total Return %,CAGR,Sharpe Ratio,Sortino Ratio,Max Drawdown,Volatility,Calmar Ratio,Win Rate,Final Portfolio Value,Turnover,Avg Holding Period
PPO Actor-Critic,24.224485770198,0.1901611906718439,1.0294111147325278,1.7917956846463905,-0.15865854883396957,0.18579664714957425,1.198556220697825,0.535031847133758,1242244.85770198,0.0063044175766645725,158.61868400978742
BuyHold EqualWeight,24.36614447244945,0.1905886460761672,0.8538480127631096,1.456604866433983,-0.23482217024312868,0.23688229604956676,0.8116296935627363,0.5396825396825397,1243661.4447244944,0.0,100000000.0
Markowitz,38.548032418051335,0.29801672990170336,1.2462525717482904,2.104977656691102,-0.23482217024312868,0.23049696739159203,1.2691166664252558,0.5650793650793651,1385480.3241805134,0.02957971889818392,33.699612370565944
Random Allocation,28.792919010792218,0.22437256339898126,0.9164408034812549,1.603476413877132,-0.25082955774216376,0.25626013253669844,0.8945220229173368,0.5492063492063493,1287929.190107922,0.920415340600248,1.0830169186223366
